recommendation,class,level,table_number,table_name,guideline,year,page
"Diagnosis and risk stratiﬁcation It is recommended to base diagnosis and initial short-term risk stratiﬁcation on a combination of clinical history, symptoms, vital signs, other physical ﬁndings, ECG, and laboratory results including hs-cTn.",I,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
"It is recommended to measure cardiac troponins with high-sensitivity assays immediately after admission and obtain the results within 60 min of blood sampling.3,1013,29",I,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
It is recommended to obtain a 12-lead ECG within 10 min after ﬁrst medical contact and to have it immediately interpreted by an experienced physician.,I,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
It is recommended to obtain an additional 12-lead ECG in case of recurrent symptoms or diagnostic uncertainty.,I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
Additional testing after 3 h is recommended if the ﬁrst two cardiac troponin measurements of the 0 h/1 h algorithm are not conclusive and the clinical condition is still suggestive of ACS.,I,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
As an alternative to the,I,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
"Additional ECG leads (V3R, V4R, V7V9) are recommended if ongoing ischaemia is suspected when standard leads are inconclusive.",I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
As an alternative to the,IIa,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
The routine use of copeptin as an additional biomarker for the early rule-out of MI should be considered where hs-cTn assays are not available.,IIa,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
It should be considered to use established risk scores for prognosis estimation.,IIa,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
"For initial diagnostic purposes, it is not recommended to routinely measure additional biomarkers such as h-FABP or copeptin, in addition to hs-cTn.",III,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,18
"In patients with no recurrence of chest pain, normal ECG ﬁndings, and normal levels of cardiac troponin (preferably high sensitivity), but still with a suspected ACS, a non-invasive stress test (preferably with imaging) for inducible ischaemia or CCTA is recommended before deciding on an invasive approach.91,92,98,101,105",I,B,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
Echocardiography is recommended to evaluate regional and global LV function and to rule in or rule out differential diagnoses.c,I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
